"KS","Group","id"
"ARRB2","Non-Kinase",182
"ARX","Non-Kinase",183
"ASAP1","Non-Kinase",184
"ASAP3","Non-Kinase",185
"ASB2","Non-Kinase",186
"ASB8","Non-Kinase",187
"ASF1A","Non-Kinase",188
"ASF1B","Non-Kinase",189
"ASGR2","Non-Kinase",190
"ASIC1","Non-Kinase",191
"ASIC3","Non-Kinase",192
"ATAD5","Non-Kinase",193
"ATAT1","Non-Kinase",194
"ATF1","Non-Kinase",195
"ATF2","Non-Kinase",196
"ATF4","Non-Kinase",197
"ATF6","Non-Kinase",198
"ATF7","Non-Kinase",199
"ATG101","Non-Kinase",200
"ATG13","Non-Kinase",201
"ATG14","Non-Kinase",202
"ATG16L1","Non-Kinase",203
"ATG2B","Non-Kinase",204
"ATG4B","Non-Kinase",205
"ATG5","Non-Kinase",206
"ATG9A","Non-Kinase",207
"ATIC","Non-Kinase",208
"ATM","ATYPICAL",209
"ATN1","Non-Kinase",210
"ATOH1","Non-Kinase",211
"ATP1A1","Non-Kinase",212
"ATP2A2","Non-Kinase",213
"ATP2B1","Non-Kinase",214
"ATP2B2","Non-Kinase",215
"ATP2B4","Non-Kinase",216
"ATP5F1C","Non-Kinase",217
"ATP5IF1","Non-Kinase",218
"ATP7A","Non-Kinase",219
"ATP7B","Non-Kinase",220
"ATR","ATYPICAL",221
"ATRIP","Non-Kinase",222
"ATXN1","Non-Kinase",223
"ATXN10","Non-Kinase",224
"ATXN2L","Non-Kinase",225
"ATXN3","Non-Kinase",226
"AURKA","OTHER",227
"AURKAIP1","Non-Kinase",228
"AURKB","OTHER",229
"AURKC","OTHER",230
"AVEN","Non-Kinase",231
"AVPR2","Non-Kinase",232
"AXIN1","Non-Kinase",233
"AXIN2","Non-Kinase",234
"AXL","TK",235
"BABAM1","Non-Kinase",236
"BACE1","Non-Kinase",237
"BACH2","Non-Kinase",238
"BAD","Non-Kinase",239
"BAG2","Non-Kinase",240
"BAG3","Non-Kinase",241
"BAG6","Non-Kinase",242
"BAIAP2","Non-Kinase",243
"BAIAP2L1","Non-Kinase",244
"BAK1","Non-Kinase",245
"BANF1","Non-Kinase",246
"BANP","Non-Kinase",247
"BAP18","Non-Kinase",248
"BARD1","Non-Kinase",249
"BAX","Non-Kinase",250
"BAZ1A","ATYPICAL",251
"BAZ1B","ATYPICAL",252
"BAZ2A","Non-Kinase",253
"BBC3","Non-Kinase",254
"BCAM","Non-Kinase",255
"BCAR1","Non-Kinase",256
"BCKDHA","Non-Kinase",257
"BCKDK","ATYPICAL",258
"BCL10","Non-Kinase",259
"BCL11B","Non-Kinase",260
"BCL2","Non-Kinase",261
"BCL2L1","Non-Kinase",262
"BCL2L11","Non-Kinase",263
"BCL2L12","Non-Kinase",264
"BCL3","Non-Kinase",265
"BCL6","Non-Kinase",266
"BCL9","Non-Kinase",267
"BCLAF1","Non-Kinase",268
"BCR","ATYPICAL",269
"BDKRB2","Non-Kinase",270
"BDNF","Non-Kinase",271
"BECN1","Non-Kinase",272
"BEST1","Non-Kinase",273
"BEX1","Non-Kinase",274
"BHLHE40","Non-Kinase",275
"BICD1","Non-Kinase",276
"BID","Non-Kinase",277
"BIK","Non-Kinase",278
"BIN1","Non-Kinase",279
"BIRC5","Non-Kinase",280
"BLK","TK",281
"BLM","Non-Kinase",282
"BLNK","Non-Kinase",283
"BLVRA","ATYPICAL",284
"BMAL1","Non-Kinase",285
"BMF","Non-Kinase",286
"BMI1","Non-Kinase",287
"BMP2K","OTHER",288
"BMPR1A","TKL",289
"BMPR1B","TKL",290
"BMX","TK",291
"BNC1","Non-Kinase",292
"BNIP3","Non-Kinase",293
"BNIP3L","Non-Kinase",294
"BOD1L1","Non-Kinase",295
