,GeneName,Group
481,CDK17,CMGC
482,CDK18,CMGC
483,CDK19,CMGC
484,CDK2,CMGC
485,CDK20,CMGC
486,CDK2AP1,Non-kinase
487,CDK3,CMGC
488,CDK4,CMGC
489,CDK5,CMGC
490,CDK5R1,Non-kinase
491,CDK5RAP2,Non-kinase
492,CDK6,CMGC
493,CDK7,CMGC
494,CDK8,CMGC
495,CDK9,CMGC
496,CDKL1,CMGC
497,CDKL2,CMGC
498,CDKL3,CMGC
499,CDKL4,CMGC
500,CDKL5,CMGC
501,CDKN1A,Non-kinase
502,CDKN1B,Non-kinase
503,CDKN1C,Non-kinase
504,CDKN2A,Non-kinase
505,CDKN2D,Non-kinase
506,CDT1,Non-kinase
507,CDX2,Non-kinase
508,CEACAM1,Non-kinase
509,CEBPA,Non-kinase
510,CEBPB,Non-kinase
511,CEBPD,Non-kinase
512,CEBPE,Non-kinase
513,CELF1,Non-kinase
514,CENPA,Non-kinase
515,CENPC,Non-kinase
516,CENPE,Non-kinase
517,CENPF,Non-kinase
518,CENPJ,Non-kinase
519,CENPQ,Non-kinase
520,CENPU,Non-kinase
521,CEP131,Non-kinase
522,CEP164,Non-kinase
523,CEP170,Non-kinase
524,CEP170B,Non-kinase
525,CEP192,Non-kinase
526,CEP250,Non-kinase
527,CEP55,Non-kinase
528,CEP68,Non-kinase
529,CEP76,Non-kinase
530,CEP83,Non-kinase
531,CERS4,Non-kinase
532,CERS5,Non-kinase
533,CERS6,Non-kinase
534,CERT1,Atypical
535,CETN1,Non-kinase
536,CETN2,Non-kinase
537,CFL1,Non-kinase
538,CFL2,Non-kinase
539,CFLAR,Non-kinase
540,CFTR,Non-kinase
541,CGAS,Non-kinase
542,CGB3,Non-kinase
543,CGGBP1,Non-kinase
544,CGN,Non-kinase
545,CHAT,Non-kinase
546,CHCHD2,Non-kinase
547,CHCHD3,Non-kinase
548,CHD4,Non-kinase
549,CHD7,Non-kinase
550,CHEK1,CAMK
551,CHEK2,CAMK
552,CHKA,Non-kinase
553,CHKB,Non-kinase
554,CHMP4C,Non-kinase
555,CHMP7,Non-kinase
556,CHN2,Non-kinase
557,CHRM2,Non-kinase
558,CHRNA7,Non-kinase
559,CHTF18,Non-kinase
560,CHTOP,Non-kinase
561,CHUK,Other
562,CIB1,Non-kinase
563,CIC,Non-kinase
564,CIITA,Non-kinase
565,CILK1,CMGC
566,CIP2A,Non-kinase
567,CIT,AGC
568,CITED2,Non-kinase
569,CKAP2,Non-kinase
570,CKMT1A,Non-kinase
571,CLASP2,Non-kinase
572,CLCN3,Non-kinase
573,CLDN1,Non-kinase
574,CLDN11,Non-kinase
575,CLDN3,Non-kinase
576,CLDN4,Non-kinase
577,CLDN7,Non-kinase
578,CLIC5,Non-kinase
579,CLIP1,Non-kinase
580,CLK1,CMGC
581,CLK2,CMGC
582,CLK3,CMGC
583,CLK4,CMGC
584,CLOCK,Non-kinase
585,CLSPN,Non-kinase
586,CLTB,Non-kinase
587,CLTC,Non-kinase
