,GeneName,Group
1900,NKX2-1,Non-kinase
1901,NKX2-5,Non-kinase
1902,NKX3-1,Non-kinase
1903,NLGN4X,Non-kinase
1904,NLK,CMGC
1905,NLRC4,Non-kinase
1906,NLRP3,Non-kinase
1907,NLRP5,Non-kinase
1908,NME1,Non-kinase
1909,NME2,Non-kinase
1910,NMNAT1,Non-kinase
1911,NMT1,Non-kinase
1912,NOB1,Non-kinase
1913,NOL3,Non-kinase
1914,NOLC1,Non-kinase
1915,NOP53,Non-kinase
1916,NOS1,Non-kinase
1917,NOS2,Non-kinase
1918,NOS3,Non-kinase
1919,NOSIP,Non-kinase
1920,NOTCH1,Non-kinase
1921,NOTCH2,Non-kinase
1922,NOVA2,Non-kinase
1923,NOX4,Non-kinase
1924,NOX5,Non-kinase
1925,NOXA1,Non-kinase
1926,NOXO1,Non-kinase
1927,NPAT,Non-kinase
1928,NPFFR2,Non-kinase
1929,NPHP1,Non-kinase
1930,NPHS1,Non-kinase
1931,NPM1,Non-kinase
1932,NPR1,RGC
1933,NPR2,RGC
1934,NQO1,Non-kinase
1935,NR0B2,Non-kinase
1936,NR1D1,Non-kinase
1937,NR1H2,Non-kinase
1938,NR1H3,Non-kinase
1939,NR1H4,Non-kinase
1940,NR1I2,Non-kinase
1941,NR1I3,Non-kinase
1942,NR2C2,Non-kinase
1943,NR2F6,Non-kinase
1944,NR3C1,Non-kinase
1945,NR3C2,Non-kinase
1946,NR4A1,Non-kinase
1947,NR4A2,Non-kinase
1948,NR4A3,Non-kinase
1949,NR5A1,Non-kinase
1950,NR5A2,Non-kinase
1951,NRAS,Non-kinase
1952,NRBF2,Non-kinase
1953,NRBP1,Other
1954,NRBP2,Other
1955,NRCAM,Non-kinase
1956,NREP,Non-kinase
1957,NRF1,Non-kinase
1958,NRG1,Non-kinase
1959,NRGN,Non-kinase
1960,NRK,STE
1961,NRXN1,Non-kinase
1962,NSD2,Non-kinase
1963,NSF,Non-kinase
1964,NSFL1C,Non-kinase
1965,NSUN2,Non-kinase
1966,NTRK1,TK
1967,NTRK2,TK
1968,NTRK3,TK
1969,NUAK1,CAMK
1970,NUAK2,CAMK
1971,NUCKS1,Non-kinase
1972,NUDC,Non-kinase
1973,NUFIP2,Non-kinase
1974,NUMA1,Non-kinase
1975,NUMB,Non-kinase
1976,NUP107,Non-kinase
1977,NUP133,Non-kinase
1978,NUP153,Non-kinase
1979,NUP210,Non-kinase
1980,NUP214,Non-kinase
1981,NUP50,Non-kinase
1982,NUP62,Non-kinase
1983,NUP98,Non-kinase
1984,NUSAP1,Non-kinase
1985,OBSCN,CAMK
1986,OCLN,Non-kinase
1987,ODF2,Non-kinase
1988,OFD1,Non-kinase
1989,OGA,Non-kinase
1990,OGFOD1,Non-kinase
1991,OGFR,Non-kinase
1992,OGT,Non-kinase
1993,OPRD1,Non-kinase
1994,OPRK1,Non-kinase
1995,OPRL1,Non-kinase
1996,OPRM1,Non-kinase
1997,OPTN,Non-kinase
1998,ORAI1,Non-kinase
1999,ORC1,Non-kinase
2000,ORC2,Non-kinase
2001,ORC6,Non-kinase
2002,OSBP,Non-kinase
2003,OSBP2,Non-kinase
2004,OSBPL11,Non-kinase
2005,OSTF1,Non-kinase
2006,OTUB1,Non-kinase
2007,OTUD5,Non-kinase
2008,OTULIN,Non-kinase
2009,OXSR1,STE
2010,OXTR,Non-kinase
2011,PA2G4,Non-kinase
2012,PABIR1,Non-kinase
2013,PACS1,Non-kinase
2014,PACS2,Non-kinase
2015,PACSIN1,Non-kinase
2016,PACSIN2,Non-kinase
2017,PAG1,Non-kinase
2018,PAGE4,Non-kinase
2019,PAH,Non-kinase
2020,PAICS,Non-kinase
2021,PAK1,STE
2022,PAK2,STE
2023,PAK3,STE
2024,PAK4,STE
2025,PAK5,STE
2026,PAK6,STE
2027,PALLD,Non-kinase
2028,PAM,Non-kinase
2029,PAN2,Non-kinase
2030,PAN3,Other
2031,PANX1,Non-kinase
2032,PANX2,Non-kinase
2033,PAQR3,Non-kinase
2034,PARD3,Non-kinase
2035,PARD6A,Non-kinase
2036,PARK7,Non-kinase
2037,PARN,Non-kinase
2038,PARP1,Non-kinase
2039,PARP10,Non-kinase
2040,PARVA,Non-kinase
2041,PASK,CAMK
2042,PATL1,Non-kinase
2043,PAWR,Non-kinase
2044,PAX3,Non-kinase
2045,PAX6,Non-kinase
2046,PAX8,Non-kinase
2047,PBK,Other
2048,PBRM1,Non-kinase
2049,PBXIP1,Non-kinase
2050,PCBP1,Non-kinase
2051,PCBP2,Non-kinase
2052,PCF11,Non-kinase
2053,PCGF2,Non-kinase
2054,PCGF6,Non-kinase
2055,PCK1,Non-kinase
2056,PCM1,Non-kinase
2057,PCNA,Non-kinase
2058,PCNT,Non-kinase
2059,PCYT1A,Non-kinase
2060,PDC,Non-kinase
2061,PDCD10,Non-kinase
2062,PDCD4,Non-kinase
2063,PDCD5,Non-kinase
2064,PDCD6IP,Non-kinase
2065,PDCL,Non-kinase
2066,PDE10A,Non-kinase
2067,PDE11A,Non-kinase
2068,PDE3A,Non-kinase
2069,PDE3B,Non-kinase
2070,PDE4A,Non-kinase
2071,PDE4B,Non-kinase
2072,PDE4C,Non-kinase
2073,PDE4D,Non-kinase
2074,PDE5A,Non-kinase
2075,PDE6G,Non-kinase
2076,PDE8A,Non-kinase
2077,PDGFRA,TK
2078,PDGFRB,TK
2079,PDHA1,Non-kinase
2080,PDHA2,Non-kinase
2081,PDIA3,Non-kinase
2082,PDIA6,Non-kinase
2083,PDIK1L,Other
2084,PDK1,Atypical
2085,PDK2,Atypical
2086,PDK3,Atypical
2087,PDK4,Atypical
2088,PDP1,Non-kinase
2089,PDPK1,AGC
2090,PDS5B,Non-kinase
2091,PDX1,Non-kinase
2092,PDXDC1,Non-kinase
2093,PDZK1,Non-kinase
2094,PEA15,Non-kinase
2095,PEAK1,Other
2096,PEBP1,Non-kinase
2097,PECAM1,Non-kinase
2098,PELI1,Non-kinase
2099,PELI2,Non-kinase
2100,PELP1,Non-kinase
2101,PER2,Non-kinase
2102,PER3,Non-kinase
2103,PEX14,Non-kinase
2104,PEX5,Non-kinase
2105,PFAS,Non-kinase
2106,PFKFB2,Non-kinase
2107,PFKFB3,Non-kinase
2108,PFKL,Non-kinase
2109,PFKM,Non-kinase
2110,PFKP,Non-kinase
2111,PFN1,Non-kinase
2112,PGAM1,Non-kinase
2113,PGD,Non-kinase
2114,PGK1,Non-kinase
2115,PGM1,Non-kinase
2116,PGR,Non-kinase
2117,PHACTR3,Non-kinase
2118,PHB1,Non-kinase
2119,PHB2,Non-kinase
2120,PHF14,Non-kinase
2121,PHF2,Non-kinase
2122,PHF20,Non-kinase
2123,PHF23,Non-kinase
2124,PHF6,Non-kinase
2125,PHF8,Non-kinase
2126,PHGDH,Non-kinase
2127,PHKA1,Non-kinase
2128,PHKG1,CAMK
2129,PHKG2,CAMK
2130,PHLDA1,Non-kinase
2131,PHLDB1,Non-kinase
2132,PHLPP1,Non-kinase
2133,PHOX2A,Non-kinase
2134,PI4KB,Non-kinase
2135,PIAS1,Non-kinase
2136,PIAS2,Non-kinase
2137,PIAS4,Non-kinase
2138,PICK1,Non-kinase
2139,PIDD1,Non-kinase
2140,PIK3AP1,Non-kinase
2141,PIK3C2A,Non-kinase
2142,PIK3C3,Non-kinase
2143,PIK3CG,Non-kinase
2144,PIK3R1,Non-kinase
2145,PIK3R3,Non-kinase
2146,PIK3R4,Other
2147,PIK3R6,Non-kinase
2148,PIKFYVE,Non-kinase
2149,PIM1,CAMK
2150,PIM2,CAMK
2151,PIM3,CAMK
2152,PIMREG,Non-kinase
2153,PIN1,Non-kinase
2154,PIN4,Non-kinase
2155,PINK1,Other
2156,PINX1,Non-kinase
2157,PIP4K2A,Non-kinase
2158,PIP4K2B,Non-kinase
2159,PIP4K2C,Non-kinase
2160,PIP5K1B,Non-kinase
2161,PIP5K1C,Non-kinase
2162,PITPNA,Non-kinase
2163,PITPNC1,Non-kinase
2164,PITPNM1,Non-kinase
2165,PITX2,Non-kinase
2166,PJA2,Non-kinase
2167,PKD1,Non-kinase
2168,PKD2,Non-kinase
2169,PKD2L1,Non-kinase
2170,PKDCC,Other
2171,PKIA,Non-kinase
2172,PKM,Non-kinase
2173,PKMYT1,Other
2174,PKN1,AGC
2175,PKN2,AGC
2176,PKN3,AGC
2177,PKP1,Non-kinase
2178,PKP2,Non-kinase
2179,PKP3,Non-kinase
2180,PLA2G4A,Non-kinase
2181,PLAU,Non-kinase
2182,PLCB1,Non-kinase
2183,PLCB3,Non-kinase
2184,PLCG1,Non-kinase
2185,PLCG2,Non-kinase
2186,PLD1,Non-kinase
2187,PLD2,Non-kinase
2188,PLEC,Non-kinase
2189,PLEK,Non-kinase
2190,PLEKHG1,Non-kinase
2191,PLEKHG2,Non-kinase
2192,PLEKHG6,Non-kinase
2193,PLIN1,Non-kinase
2194,PLIN2,Non-kinase
2195,PLIN3,Non-kinase
2196,PLK1,Other
2197,PLK2,Other
2198,PLK3,Other
2199,PLK4,Other
2200,PLN,Non-kinase
2201,PLRG1,Non-kinase
2202,PLSCR1,Non-kinase
2203,PLSCR3,Non-kinase
2204,PLSCR4,Non-kinase
2205,PLXNA1,Non-kinase
2206,PLXNA2,Non-kinase
2207,PLXNB1,Non-kinase
2208,PMAIP1,Non-kinase
2209,PML,Non-kinase
2210,PNCK,CAMK
2211,PNKP,Non-kinase
2212,PNPLA8,Non-kinase
2213,PNPT1,Non-kinase
2214,POLD1,Non-kinase
2215,POLD2,Non-kinase
2216,POLD3,Non-kinase
2217,POLDIP3,Non-kinase
2218,POLH,Non-kinase
2219,POLL,Non-kinase
2220,POLM,Non-kinase
2221,POLR1G,Non-kinase
2222,POLR2A,Non-kinase
2223,POLR2F,Non-kinase
2224,POMK,Other
2225,POP4,Non-kinase
2226,POU2F1,Non-kinase
2227,POU3F2,Non-kinase
2228,POU5F1,Non-kinase
2229,POU6F1,Non-kinase
2230,PPARA,Non-kinase
2231,PPARD,Non-kinase
2232,PPARG,Non-kinase
2233,PPARGC1A,Non-kinase
2234,PPARGC1B,Non-kinase
2235,PPAT,Non-kinase
2236,PPFIA1,Non-kinase
2237,PPHLN1,Non-kinase
2238,PPIF,Non-kinase
2239,PPM1B,Non-kinase
2240,PPM1D,Non-kinase
2241,PPM1G,Non-kinase
2242,PPM1J,Non-kinase
2243,PPME1,Non-kinase
2244,PPP1CA,Non-kinase
2245,PPP1CC,Non-kinase
2246,PPP1R12A,Non-kinase
2247,PPP1R12B,Non-kinase
2248,PPP1R12C,Non-kinase
2249,PPP1R13L,Non-kinase
2250,PPP1R14A,Non-kinase
2251,PPP1R14B,Non-kinase
2252,PPP1R14C,Non-kinase
2253,PPP1R14D,Non-kinase
2254,PPP1R16B,Non-kinase
2255,PPP1R17,Non-kinase
2256,PPP1R1A,Non-kinase
2257,PPP1R1B,Non-kinase
2258,PPP1R1C,Non-kinase
2259,PPP1R2,Non-kinase
2260,PPP1R26,Non-kinase
2261,PPP1R2B,Non-kinase
2262,PPP1R35,Non-kinase
2263,PPP1R3A,Non-kinase
2264,PPP1R3C,Non-kinase
2265,PPP1R7,Non-kinase
2266,PPP1R8,Non-kinase
2267,PPP1R9A,Non-kinase
2268,PPP1R9B,Non-kinase
2269,PPP2CA,Non-kinase
2270,PPP2R2A,Non-kinase
2271,PPP2R2B,Non-kinase
2272,PPP2R3A,Non-kinase
2273,PPP2R5A,Non-kinase
2274,PPP2R5C,Non-kinase
2275,PPP2R5D,Non-kinase
2276,PPP5C,Non-kinase
2277,PPP6R2,Non-kinase
2278,PQBP1,Non-kinase
2279,PRAG1,Other
2280,PRC1,Non-kinase
2281,PRDX1,Non-kinase
2282,PRDX2,Non-kinase
2283,PRDX3,Non-kinase
2284,PRDX6,Non-kinase
2285,PREB,Non-kinase
2286,PREX1,Non-kinase
2287,PREX2,Non-kinase
2288,PRH1,Non-kinase
2289,PRICKLE1,Non-kinase
2290,PRKAA1,CAMK
2291,PRKAA2,CAMK
2292,PRKAB1,Non-kinase
2293,PRKACA,AGC
2294,PRKACB,AGC
2295,PRKACG,AGC
2296,PRKAG1,Non-kinase
2297,PRKAR1A,Non-kinase
2298,PRKAR2A,Non-kinase
2299,PRKAR2B,Non-kinase
2300,PRKCA,AGC
2301,PRKCB,AGC
2302,PRKCD,AGC
2303,PRKCE,AGC
2304,PRKCG,AGC
2305,PRKCH,AGC
2306,PRKCI,AGC
2307,PRKCQ,AGC
2308,PRKCZ,AGC
2309,PRKD1,CAMK
2310,PRKD2,CAMK
2311,PRKD3,CAMK
2312,PRKDC,Atypical
2313,PRKG1,AGC
2314,PRKG2,AGC
2315,PRKN,Non-kinase
2316,PRKX,AGC
2317,PRKY,AGC
2318,PRL,Non-kinase
2319,PRLR,Non-kinase
2320,PRMT5,Non-kinase
2321,PRNP,Non-kinase
2322,PROM1,Non-kinase
2323,PROSER2,Non-kinase
2324,PRPF19,Non-kinase
2325,PRPF3,Non-kinase
2326,PRPF31,Non-kinase
2327,PRPF4B,CMGC
2328,PRPH,Non-kinase
2329,PRPS1,Non-kinase
2330,PRPS2,Non-kinase
2331,PRR5,Non-kinase
2332,PRRC2A,Non-kinase
2333,PRRC2B,Non-kinase
2334,PRRC2C,Non-kinase
2335,PSEN1,Non-kinase
2336,PSEN2,Non-kinase
2337,PSIP1,Non-kinase
2338,PSKH1,CAMK
2339,PSKH2,CAMK
2340,PSMA3,Non-kinase
2341,PSMA5,Non-kinase
2342,PSMA7,Non-kinase
2343,PSMC4,Non-kinase
2344,PSMC5,Non-kinase
2345,PSMD1,Non-kinase
2346,PSMD11,Non-kinase
2347,PSMD2,Non-kinase
2348,PSMD3,Non-kinase
2349,PSME3,Non-kinase
2350,PSTPIP1,Non-kinase
2351,PTBP1,Non-kinase
2352,PTEN,Non-kinase
2353,PTGER4,Non-kinase
2354,PTGES3,Non-kinase
2355,PTGIR,Non-kinase
2356,PTGS2,Non-kinase
2357,PTH1R,Non-kinase
2358,PTHLH,Non-kinase
2359,PTK2,TK
2360,PTK2B,TK
2361,PTK6,TK
2362,PTK7,TK
2363,PTMA,Non-kinase
2364,PTOV1,Non-kinase
2365,PTPN1,Non-kinase
2366,PTPN11,Non-kinase
2367,PTPN12,Non-kinase
2368,PTPN18,Non-kinase
2369,PTPN2,Non-kinase
2370,PTPN22,Non-kinase
2371,PTPN3,Non-kinase
2372,PTPN5,Non-kinase
2373,PTPN6,Non-kinase
2374,PTPN7,Non-kinase
2375,PTPRA,Non-kinase
2376,PTPRC,Non-kinase
2377,PTPRCAP,Non-kinase
2378,PTPRF,Non-kinase
2379,PTPRJ,Non-kinase
2380,PTPRR,Non-kinase
2381,PTPRT,Non-kinase
2382,PTRH2,Non-kinase
2383,PTS,Non-kinase
2384,PTTG1,Non-kinase
2385,PTTG1IP,Non-kinase
2386,PTTG2,Non-kinase
2387,PXK,Other
2388,PXN,Non-kinase
2389,PYCARD,Non-kinase
2390,PYCR1,Non-kinase
2391,PYCR2,Non-kinase
2392,PYGB,Non-kinase
2393,PYGL,Non-kinase
2394,PYGM,Non-kinase
2395,PYGO2,Non-kinase
2396,QDPR,Non-kinase
2397,QTRT1,Non-kinase
2398,RAB10,Non-kinase
2399,RAB11A,Non-kinase
2400,RAB11FIP1,Non-kinase
2401,RAB11FIP2,Non-kinase
2402,RAB11FIP3,Non-kinase
2403,RAB11FIP5,Non-kinase
2404,RAB1A,Non-kinase
2405,RAB34,Non-kinase
2406,RAB37,Non-kinase
2407,RAB3IP,Non-kinase
2408,RAB4A,Non-kinase
2409,RAB5A,Non-kinase
2410,RAB5B,Non-kinase
2411,RAB8A,Non-kinase
2412,RABEP1,Non-kinase
2413,RAC1,Non-kinase
2414,RACGAP1,Non-kinase
2415,RACK1,Non-kinase
2416,RAD1,Non-kinase
2417,RAD17,Non-kinase
2418,RAD18,Non-kinase
2419,RAD21,Non-kinase
2420,RAD50,Non-kinase
2421,RAD51,Non-kinase
2422,RAD52,Non-kinase
2423,RAD54L,Non-kinase
2424,RAD9A,Non-kinase
2425,RAF1,TKL
2426,RAG2,Non-kinase
2427,RAI1,Non-kinase
2428,RAI14,Non-kinase
2429,RALA,Non-kinase
2430,RALB,Non-kinase
2431,RALBP1,Non-kinase
2432,RALGAPA2,Non-kinase
2433,RALY,Non-kinase
2434,RAMAC,Non-kinase
2435,RAN,Non-kinase
2436,RANBP2,Non-kinase
2437,RANBP3,Non-kinase
2438,RANBP9,Non-kinase
2439,RANGAP1,Non-kinase
2440,RAP1A,Non-kinase
2441,RAP1B,Non-kinase
2442,RAP1GAP,Non-kinase
2443,RAP1GAP2,Non-kinase
2444,RAPGEF1,Non-kinase
2445,RAPGEF2,Non-kinase
2446,RAPGEF3,Non-kinase
2447,RAPH1,Non-kinase
2448,RARA,Non-kinase
2449,RARG,Non-kinase
2450,RASA1,Non-kinase
2451,RASAL2,Non-kinase
2452,RASD2,Non-kinase
2453,RASGRF1,Non-kinase
2454,RASGRF2,Non-kinase
2455,RASGRP1,Non-kinase
2456,RASGRP2,Non-kinase
2457,RASGRP3,Non-kinase
2458,RASSF1,Non-kinase
2459,RAVER1,Non-kinase
2460,RB1,Non-kinase
2461,RB1CC1,Non-kinase
2462,RBBP5,Non-kinase
2463,RBBP7,Non-kinase
2464,RBBP8,Non-kinase
2465,RBFOX2,Non-kinase
2466,RBL1,Non-kinase
2467,RBL2,Non-kinase
2468,RBM10,Non-kinase
2469,RBM14,Non-kinase
2470,RBM17,Non-kinase
2471,RBM26,Non-kinase
2472,RBM27,Non-kinase
2473,RBM28,Non-kinase
2474,RBM3,Non-kinase
2475,RBM38,Non-kinase
2476,RBM39,Non-kinase
2477,RBM4,Non-kinase
2478,RBM42,Non-kinase
2479,RBM7,Non-kinase
2480,RBM8A,Non-kinase
2481,RBMX,Non-kinase
2482,RBMXL1,Non-kinase
2483,RBPJ,Non-kinase
2484,RBPMS,Non-kinase
2485,RBSN,Non-kinase
2486,RCAN1,Non-kinase
2487,RCC1,Non-kinase
2488,RCHY1,Non-kinase
2489,RCSD1,Non-kinase
2490,RDX,Non-kinase
2491,RECQL4,Non-kinase
2492,RECQL5,Non-kinase
2493,REEP1,Non-kinase
2494,REEP2,Non-kinase
2495,REL,Non-kinase
2496,RELA,Non-kinase
2497,RELB,Non-kinase
2498,RELL1,Non-kinase
2499,REM1,Non-kinase
2500,REPS1,Non-kinase
2501,REPS2,Non-kinase
2502,REST,Non-kinase
2503,RET,TK
2504,RETREG1,Non-kinase
2505,REV3L,Non-kinase
2506,REXO1,Non-kinase
2507,RFC1,Non-kinase
2508,RFWD3,Non-kinase
2509,RFX1,Non-kinase
2510,RGCC,Non-kinase
2511,RGPD3,Non-kinase
2512,RGPD4,Non-kinase
2513,RGPD5,Non-kinase
2514,RGPD8,Non-kinase
2515,RGS10,Non-kinase
2516,RGS13,Non-kinase
2517,RGS14,Non-kinase
2518,RGS16,Non-kinase
2519,RGS18,Non-kinase
2520,RGS19,Non-kinase
2521,RGS2,Non-kinase
2522,RGS7,Non-kinase
2523,RHBG,Non-kinase
2524,RHEB,Non-kinase
2525,RHO,Non-kinase
2526,RHOA,Non-kinase
2527,RHOB,Non-kinase
2528,RHOT1,Non-kinase
2529,RHOU,Non-kinase
2530,RICTOR,Non-kinase
2531,RIF1,Non-kinase
2532,RIGI,Non-kinase
2533,RIMS1,Non-kinase
2534,RIN1,Non-kinase
2535,RIOK1,Atypical
2536,RIOK2,Atypical
2537,RIOK3,Atypical
2538,RIPK1,TKL
2539,RIPK2,TKL
2540,RIPK3,TKL
2541,RIPK4,TKL
2542,RIPOR1,Non-kinase
2543,RIT1,Non-kinase
2544,RMDN3,Non-kinase
2545,RMI2,Non-kinase
2546,RNASEL,Other
2547,RND3,Non-kinase
2548,RNF11,Non-kinase
2549,RNF138,Non-kinase
2550,RNF20,Non-kinase
2551,RNF4,Non-kinase
2552,RNF40,Non-kinase
2553,RNF41,Non-kinase
2554,RNF7,Non-kinase
2555,RNMT,Non-kinase
2556,RNPS1,Non-kinase
2557,ROBO1,Non-kinase
2558,ROBO3,Non-kinase
2559,ROCK1,AGC
2560,ROCK2,AGC
2561,ROR1,TK
2562,ROR2,TK
2563,RORA,Non-kinase
2564,RORC,Non-kinase
2565,ROS1,TK
2566,RP9,Non-kinase
2567,RPA2,Non-kinase
2568,RPAP3,Non-kinase
2569,RPL10,Non-kinase
2570,RPL11,Non-kinase
2571,RPL12,Non-kinase
2572,RPL13,Non-kinase
2573,RPL13A,Non-kinase
2574,RPL19,Non-kinase
2575,RPL21,Non-kinase
2576,RPL7A,Non-kinase
2577,RPL8,Non-kinase
2578,RPLP2,Non-kinase
2579,RPRD1B,Non-kinase
2580,RPS10,Non-kinase
2581,RPS11,Non-kinase
2582,RPS15,Non-kinase
2583,RPS19,Non-kinase
2584,RPS27,Non-kinase
2585,RPS27L,Non-kinase
2586,RPS3,Non-kinase
2587,RPS3A,Non-kinase
2588,RPS6,Non-kinase
2589,RPS6KA1,AGC
2590,RPS6KA2,AGC
2591,RPS6KA3,AGC
2592,RPS6KA4,AGC
2593,RPS6KA5,AGC
2594,RPS6KA6,AGC
2595,RPS6KB1,AGC
2596,RPS6KB2,AGC
2597,RPS6KC1,AGC
2598,RPS6KL1,AGC
2599,RPTOR,Non-kinase
2600,RRAD,Non-kinase
2601,RRAGC,Non-kinase
2602,RRAS,Non-kinase
2603,RRAS2,Non-kinase
2604,RRM1,Non-kinase
2605,RRM2,Non-kinase
2606,RRM2B,Non-kinase
2607,RRN3,Non-kinase
2608,RRP12,Non-kinase
2609,RSC1A1,Non-kinase
2610,RSF1,Non-kinase
2611,RSKR,AGC
2612,RSL1D1,Non-kinase
2613,RSPH3,Non-kinase
2614,RTCB,Non-kinase
2615,RTKN,Non-kinase
2616,RTN4,Non-kinase
2617,RUBCNL,Non-kinase
2618,RUFY1,Non-kinase
2619,RUNX1,Non-kinase
2620,RUNX2,Non-kinase
2621,RUNX3,Non-kinase
2622,RUVBL1,Non-kinase
2623,RXRA,Non-kinase
2624,RYK,TK
2625,RYR1,Non-kinase
2626,RYR2,Non-kinase
2627,S100A9,Non-kinase
2628,S1PR1,Non-kinase
2629,SAFB2,Non-kinase
2630,SAMHD1,Non-kinase
2631,SARM1,Non-kinase
2632,SARS1,Non-kinase
2633,SASH1,Non-kinase
2634,SAT1,Non-kinase
2635,SATB1,Non-kinase
2636,SAV1,Non-kinase
2637,SBK1,Other
2638,SBK2,Other
2639,SBK3,Other
2640,SCAF11,Non-kinase
2641,SCAMP1,Non-kinase
2642,SCAMP3,Non-kinase
2643,SCD,Non-kinase
2644,SCML2,Non-kinase
2645,SCN10A,Non-kinase
2646,SCN5A,Non-kinase
2647,SCN8A,Non-kinase
2648,SCN9A,Non-kinase
2649,SCNN1B,Non-kinase
2650,SCNN1G,Non-kinase
2651,SCRIB,Non-kinase
2652,SCYL1,Other
2653,SCYL2,Other
2654,SCYL3,Other
2655,SDC1,Non-kinase
2656,SDC2,Non-kinase
2657,SDC3,Non-kinase
2658,SDC4,Non-kinase
2659,SDCBP,Non-kinase
2660,SDHA,Non-kinase
2661,SEC14L2,Non-kinase
2662,SEC16A,Non-kinase
2663,SEC23A,Non-kinase
2664,SEC23B,Non-kinase
2665,SEC63,Non-kinase
2666,SECISBP2L,Non-kinase
2667,SENP1,Non-kinase
2668,SENP2,Non-kinase
2669,SENP3,Non-kinase
2670,SEPTIN1,Non-kinase
2671,SEPTIN12,Non-kinase
2672,SEPTIN2,Non-kinase
2673,SEPTIN3,Non-kinase
2674,SEPTIN5,Non-kinase
2675,SEPTIN7,Non-kinase
2676,SEPTIN8,Non-kinase
2677,SEPTIN9,Non-kinase
2678,SERINC3,Non-kinase
2679,SERINC5,Non-kinase
2680,SERPINF1,Non-kinase
2681,SESN2,Non-kinase
2682,SET,Non-kinase
2683,SETDB1,Non-kinase
2684,SETMAR,Non-kinase
2685,SF1,Non-kinase
2686,SF3B1,Non-kinase
2687,SF3B2,Non-kinase
2688,SFN,Non-kinase
2689,SFPQ,Non-kinase
2690,SGK1,AGC
2691,SGK2,AGC
2692,SGK3,AGC
2693,SGO1,Non-kinase
2694,SH2B1,Non-kinase
2695,SH2B2,Non-kinase
2696,SH2B3,Non-kinase
2697,SH2D2A,Non-kinase
2698,SH2D4A,Non-kinase
2699,SH3BP2,Non-kinase
2700,SH3BP4,Non-kinase
2701,SH3BP5,Non-kinase
2702,SH3GL1,Non-kinase
2703,SH3GL2,Non-kinase
2704,SH3GLB1,Non-kinase
2705,SH3PXD2B,Non-kinase
2706,SH3RF1,Non-kinase
2707,SHARPIN,Non-kinase
2708,SHC1,Non-kinase
2709,SHC3,Non-kinase
2710,SHC4,Non-kinase
2711,SHCBP1,Non-kinase
2712,SHOC2,Non-kinase
2713,SHOX,Non-kinase
2714,SI,Non-kinase
2715,SIAH1,Non-kinase
2716,SIAH2,Non-kinase
2717,SIGIRR,Non-kinase
2718,SIGLEC10,Non-kinase
2719,SIK1,CAMK
2720,SIK2,CAMK
2721,SIK3,CAMK
2722,SIKE1,Non-kinase
2723,SIM2,Non-kinase
2724,SIN3A,Non-kinase
2725,SIPA1L1,Non-kinase
2726,SIRPA,Non-kinase
2727,SIRT1,Non-kinase
2728,SIRT2,Non-kinase
2729,SIRT3,Non-kinase
2730,SIRT6,Non-kinase
2731,SIRT7,Non-kinase
2732,SIVA1,Non-kinase
2733,SKA3,Non-kinase
2734,SKAP1,Non-kinase
2735,SKI,Non-kinase
2736,SKP2,Non-kinase
2737,SLA,Non-kinase
2738,SLAIN2,Non-kinase
2739,SLAMF1,Non-kinase
2740,SLBP,Non-kinase
2741,SLC11A1,Non-kinase
2742,SLC12A1,Non-kinase
2743,SLC12A2,Non-kinase
2744,SLC12A3,Non-kinase
2745,SLC12A4,Non-kinase
2746,SLC12A5,Non-kinase
2747,SLC12A6,Non-kinase
2748,SLC12A7,Non-kinase
2749,SLC18A2,Non-kinase
2750,SLC1A3,Non-kinase
2751,SLC25A4,Non-kinase
2752,SLC25A5,Non-kinase
2753,SLC26A4,Non-kinase
2754,SLC29A1,Non-kinase
2755,SLC2A1,Non-kinase
2756,SLC2A2,Non-kinase
2757,SLC2A4,Non-kinase
2758,SLC3A2,Non-kinase
2759,SLC4A1,Non-kinase
2760,SLC4A3,Non-kinase
2761,SLC4A4,Non-kinase
2762,SLC6A2,Non-kinase
2763,SLC6A3,Non-kinase
2764,SLC6A4,Non-kinase
2765,SLC6A9,Non-kinase
2766,SLC7A11,Non-kinase
2767,SLC8B1,Non-kinase
2768,SLC9A1,Non-kinase
2769,SLC9A3,Non-kinase
2770,SLC9A3R1,Non-kinase
2771,SLC9A3R2,Non-kinase
2772,SLC9A5,Non-kinase
2773,SLCO1B1,Non-kinase
2774,SLITRK1,Non-kinase
2775,SLK,STE
2776,SLN,Non-kinase
2777,SLTM,Non-kinase
2778,SLX4,Non-kinase
2779,SLX9,Non-kinase
2780,SMAD1,Non-kinase
2781,SMAD2,Non-kinase
2782,SMAD3,Non-kinase
2783,SMAD4,Non-kinase
2784,SMAD6,Non-kinase
2785,SMAD7,Non-kinase
2786,SMAD9,Non-kinase
2787,SMARCA4,Non-kinase
2788,SMARCAL1,Non-kinase
2789,SMARCC2,Non-kinase
2790,SMARCD3,Non-kinase
2791,SMC1A,Non-kinase
2792,SMC3,Non-kinase
2793,SMCR8,Non-kinase
2794,SMG1,Atypical
2795,SMN1,Non-kinase
2796,SMPD1,Non-kinase
2797,SMTN,Non-kinase
2798,SMURF2,Non-kinase
2799,SNAI1,Non-kinase
2800,SNAI2,Non-kinase
2801,SNAP23,Non-kinase
2802,SNAP25,Non-kinase
2803,SNAP29,Non-kinase
2804,SNAPIN,Non-kinase
