"Kinase","Substrate","Group"
"CHEK1","CDK1","CAMK"
"CHEK1","POLDIP3","CAMK"
"CHEK1","RPL13","CAMK"
"CHEK1","LIG1","CAMK"
"CHEK1","CSNK2B","CAMK"
"CHEK1","KPNA1","CAMK"
"CHEK1","MINK1","CAMK"
"CHEK1","MAP2K1","CAMK"
"CHEK1","OSBPL11","CAMK"
"CHEK1","UIMC1","CAMK"
"CHEK1","SIN3A","CAMK"
"CHEK1","TNK1","CAMK"
"CHEK1","EML3","CAMK"
"CHEK1","CEP170B","CAMK"
"CHEK1","LMO7","CAMK"
"PRKACA","GLI1","AGC"
"PRKACA","CUX1","AGC"
"PRKACA","CAMKK2","AGC"
"PRKACA","RB1","AGC"
"PRKACA","HEXIM1","AGC"
"PRKACA","KCNQ2","AGC"
"PRKACA","DISC1","AGC"
"PRKACA","PPP1R9A","AGC"
"PRKACA","E2F1","AGC"
"PRKACA","DACT1","AGC"
"PRKACA","MARK3","AGC"
"PRKACA","SCN5A","AGC"
"PRKACA","STK26","AGC"
"PRKACA","FOXO1","AGC"
"PRKACA","CAPN1","AGC"
"PRKACA","SRF","AGC"
"PRKACA","DNM1L","AGC"
"PRKACA","TRPC5","AGC"
"PRKACA","CHKB","AGC"
"PRKACA","ADRB2","AGC"
"PRKACA","CEACAM1","AGC"
"PRKACA","BRSK2","AGC"
"PRKACA","HIF1A","AGC"
"PRKACA","PARP1","AGC"
"PRKACA","TRPC6","AGC"
"PRKACA","DDX25","AGC"
"PRKACA","RGS18","AGC"
"PRKACA","OFD1","AGC"
"PRKACA","KCNJ5","AGC"
"PRKACA","ENSA","AGC"
"PRKACA","TRPA1","AGC"
"PRKACA","RGS13","AGC"
"PRKACA","GSTA4","AGC"
"PRKACA","PPP1R1A","AGC"
"PRKACA","TRIM71","AGC"
"PRKACA","SIK3","AGC"
"PRKACA","PKD2L1","AGC"
"PRKACA","ORAI1","AGC"
"PRKACA","KCNN4","AGC"
"PRKACA","AKAP12","AGC"
"PRKACA","GCM1","AGC"
"PRKACA","NCF1","AGC"
"PRKACA","RAP1GAP2","AGC"
"PRKACA","UHRF1","AGC"
"PRKACA","SMN1","AGC"
"PRKACA","KDM3A","AGC"
"PRKACA","MEF2B","AGC"
"PRKACA","PHF2","AGC"
"PRKACA","HDAC4","AGC"
"PRKACA","PFN1","AGC"
"PRKACA","GPKOW","AGC"
"PRKACA","ATG16L1","AGC"
"PRKACA","PJA2","AGC"
"PRKACA","APOBEC3B","AGC"
"PRKACA","PSMC5","AGC"
"PRKACA","RARA","AGC"
"PRKACA","AQP2","AGC"
"PRKACA","SERPINF1","AGC"
"PRKACA","CAMKK1","AGC"
"PRKACA","URI1","AGC"
"PRKACA","PDE4C","AGC"
"PRKACA","ATP5IF1","AGC"
"PRKACA","TRPV5","AGC"
"PRKACA","NCOR1","AGC"
"PRKACA","PDE11A","AGC"
"PRKACA","STK38","AGC"
"PRKACA","KSR1","AGC"
"PRKACA","ZFP36L1","AGC"
"PRKACA","DOCK1","AGC"
"PRKACA","SUN2","AGC"
"PRKACA","PPP1R14C","AGC"
"PRKACA","BCAM","AGC"
"PRKACA","CARM1","AGC"
"PRKACA","H1-4","AGC"
"PRKACA","NLRP3","AGC"
"PRKACA","APP","AGC"
"PRKACA","TPPP","AGC"
"PRKACA","VDR","AGC"
"PRKACA","ALOX5","AGC"
"PRKACA","CYP17A1","AGC"
"PRKACA","GFPT1","AGC"
"PRKACA","RASGRP2","AGC"
"PRKACA","CSNK1A1","AGC"
"PRKACA","SRSF2","AGC"
"PRKACA","ARHGAP17","AGC"
"PRKACA","CYP3A4","AGC"
"PRKACA","STAR","AGC"
"PRKACA","PFKFB3","AGC"
"PRKACA","MLXIPL","AGC"
"PRKACA","PKD1","AGC"
"PRKACA","PDZK1","AGC"
"PRKACA","TRPV1","AGC"
"PRKACA","RPS19","AGC"
"PRKACA","AKAP9","AGC"
"PRKACA","INVS","AGC"
"PRKACA","GRIN2B","AGC"
"PRKACA","TPI1","AGC"
"PRKACA","KCNA4","AGC"
"PRKACA","ESPL1","AGC"
"PRKACA","AVPR2","AGC"
"PRKACA","DDB1","AGC"
"PRKACA","PDE5A","AGC"
"PRKACA","SEC14L2","AGC"
"PRKACA","FHIP2B","AGC"
"PRKACA","HSPA1A","AGC"
"PRKACA","LRP6","AGC"
"PRKACA","UBE3A","AGC"
"PRKACA","HSP90AB1","AGC"
"PRKACA","PTPN11","AGC"
"PRKACA","MARK2","AGC"
"PRKACA","CTBP2","AGC"
"PRKACA","ULK2","AGC"
"PRKACA","KCND2","AGC"
"PRKACA","BNIP3","AGC"
"PRKACA","CTBP1","AGC"
"PRKACA","SLC8B1","AGC"
"PRKACA","USP20","AGC"
"PRKACA","TNFRSF1A","AGC"
"PRKACA","PDE4A","AGC"
"PRKACA","BIRC5","AGC"
"PRKACA","STIM1","AGC"
"PRKACA","UFD1","AGC"
"PRKACA","CREB1","AGC"
"PRKACA","POU5F1","AGC"
"PRKACA","SEPTIN7","AGC"
"PRKACA","TRPM8","AGC"
"PRKACA","MFN2","AGC"
"PRKACA","PAH","AGC"
"PRKACA","HSPB8","AGC"
"PRKACA","PDE8A","AGC"
"PRKACA","PARK7","AGC"
"PRKACA","GAD1","AGC"
"PRKACA","RPTOR","AGC"
"PRKACA","TTN","AGC"
"PRKACA","PSMD2","AGC"
"PRKACA","KLHL3","AGC"
"PRKACA","DLX3","AGC"
"PRKACA","TRPV4","AGC"
"PRKACA","NSFL1C","AGC"
"PRKACA","KCNA1","AGC"
"PRKACA","RCAN1","AGC"
"PRKACA","ANXA1","AGC"
"PRKACA","PPM1B","AGC"
"PRKACA","ATXN1","AGC"
"PRKACA","PSMD11","AGC"
"PRKACA","HLA-A","AGC"
"PRKACA","KRAS","AGC"
"PRKACA","ARFGEF1","AGC"
"PRKACA","CDC37","AGC"
"PRKACA","CEBPB","AGC"
"PRKACA","TPR","AGC"
"PRKACA","IQGAP2","AGC"
"PRKACA","PKD2","AGC"
"PRKACA","MSN","AGC"
"PRKACA","TP53","AGC"
"PRKACA","EMSY","AGC"
"PRKACA","LAMTOR4","AGC"
"PRKACA","SORBS2","AGC"
"PRKACA","SGK1","AGC"
"PRKACA","PTK2B","AGC"
"PRKACA","PIK3R1","AGC"
"PRKACA","MORC2","AGC"
"PRKACA","PREX1","AGC"
"PRKACA","ADRB1","AGC"
"PRKACA","FCER1G","AGC"
"PRKACA","TRIP10","AGC"
"PRKACA","ATR","AGC"
"PRKACA","CDK9","AGC"
"PRKACA","TAGLN2","AGC"
"PRKACA","PRKAB1","AGC"
"PRKACA","SIK2","AGC"
"PRKACA","TGM2","AGC"
"PRKACA","NDUFS4","AGC"
"PRKACA","RASD2","AGC"
"PRKACA","MYLK","AGC"
"PRKACA","ARHGEF6","AGC"
"PRKACA","PLEC","AGC"
"PRKACA","SNAI1","AGC"
"PRKACA","AQP5","AGC"
"PRKACA","PPP1R1C","AGC"
"PRKACA","SLK","AGC"
"PRKACA","RASSF1","AGC"
"PRKACA","ACADVL","AGC"
"PRKACA","NKD2","AGC"
"PRKACA","SLC26A4","AGC"
"PRKACA","KCNJ2","AGC"
"PRKACA","IMMT","AGC"
"PRKACA","AQP4","AGC"
"PRKACA","GPR15","AGC"
"PRKACA","KCNQ1","AGC"
"MAPK3","WTAP","CMGC"
"MAPK3","HNF4A","CMGC"
"MAPK3","FGFR2","CMGC"
"MAPK3","BLVRA","CMGC"
"MAPK3","REST","CMGC"
"MAPK3","TSC2","CMGC"
"MAPK3","WASF2","CMGC"
"MAPK3","MITF","CMGC"
"MAPK3","MTMR2","CMGC"
"MAPK3","CRTC3","CMGC"
"MAPK3","ISX","CMGC"
"MAPK3","DUSP5","CMGC"
"MAPK3","RHOA","CMGC"
"MAPK3","CTNND1","CMGC"
"MAPK3","CREBBP","CMGC"
"MAPK3","ARRB2","CMGC"
"MAPK3","RUNX1","CMGC"
"MAPK3","NR3C2","CMGC"
"MAPK3","NUP214","CMGC"
"MAPK3","ITGB4","CMGC"
"MAPK3","CREM","CMGC"
"MAPK3","GLE1","CMGC"
"MAPK3","FHOD1","CMGC"
"MAPK3","SLC6A4","CMGC"
"MAPK3","TPD52","CMGC"
"MAPK3","DEPTOR","CMGC"
"MAPK3","MCTS1","CMGC"
"MAPK3","BANP","CMGC"
"MAPK3","TAL2","CMGC"
"MAPK3","MAP3K11","CMGC"
"MAPK3","MED14","CMGC"
"MAPK3","PALLD","CMGC"
"MAPK3","ASB2","CMGC"
"MAPK3","FOSL2","CMGC"
"MAPK3","LRP6","CMGC"
"MAPK3","BAG3","CMGC"
"MAPK3","RRAS2","CMGC"
"MAPK3","MARS1","CMGC"
"MAPK3","SHARPIN","CMGC"
"MAPK3","DHPS","CMGC"
"MAPK3","AR","CMGC"
"MAPK3","TTK","CMGC"
"MAPK3","PIP5K1C","CMGC"
"MAPK3","TRAP1","CMGC"
"MAPK3","OSBP2","CMGC"
"MAPK3","SYMPK","CMGC"
"MAPK3","GRHL1","CMGC"
"MAPK3","E2F4","CMGC"
"MAPK3","TRPV3","CMGC"
"MAPK3","CDKN1A","CMGC"
"MAPK3","MAPK7","CMGC"
"MAPK3","YTHDF2","CMGC"
"MAPK3","NCOA2","CMGC"
"MAPK3","DUSP4","CMGC"
"MAPK3","NR3C1","CMGC"
"MAPK3","MYCN","CMGC"
"MAPK3","ERBB2","CMGC"
"MAPK3","ERBB4","CMGC"
"MAPK3","PKM","CMGC"
"MAPK3","EPAS1","CMGC"
"MAPK3","BAD","CMGC"
"MAPK3","EIF4G1","CMGC"
"MAPK3","CDCA5","CMGC"
"MAPK3","XBP1","CMGC"
"MAPK3","SEC16A","CMGC"
"MAPK3","FBXW7","CMGC"
"MAPK3","HSF4","CMGC"
"MAPK3","PTPRCAP","CMGC"
"MAPK3","NCKIPSD","CMGC"
"MAPK3","DNM1L","CMGC"
"MAPK3","RAC1","CMGC"
"MAPK3","MARCKS","CMGC"
"MAPK3","CDK2","CMGC"
"MAPK3","PTPN12","CMGC"
"MAPK3","SHOC2","CMGC"
"MAPK3","GLRA1","CMGC"
"MAPK3","MYC","CMGC"
"MAPK3","MAFG","CMGC"
"MAPK3","IL2RB","CMGC"
"MAPK3","TAB1","CMGC"
"MAPK3","CANX","CMGC"
"MAPK3","GATA6","CMGC"
"MAPK3","RSPH3","CMGC"
"MAPK3","RRAS","CMGC"
"MAPK3","SH2B1","CMGC"
"MAPK3","DAPK1","CMGC"
"MAPK3","LIN28A","CMGC"
"MAPK3","SORBS3","CMGC"
"MAPK3","EXOC7","CMGC"
"RIPK3","DAXX","TKL"
"RIPK3","MLKL","TKL"
"RIPK3","DLD","TKL"
"RIPK3","TRIM28","TKL"
"MAP4K1","CARD11","STE"
"MAP4K1","PSMD2","STE"
"EPHB2","TAGAP","TK"
"EPHB2","L1CAM","TK"
"EPHB2","SRC","TK"
"BMP2K","AP2M1","OTHER"
"CDK11A","SPDEF","CMGC"
"CSNK1D","EPAS1","CK1"
"CSNK1D","TARDBP","CK1"
"CSNK1D","LZTS2","CK1"
"CSNK1D","SMARCA4","CK1"
"CSNK1D","APC","CK1"
"CSNK1D","LRP6","CK1"
"CSNK1D","DCK","CK1"
"CSNK1D","NEDD9","CK1"
"CSNK1D","PRKD2","CK1"
"CSNK1D","TOP2B","CK1"
"CSNK1D","WEE1","CK1"
"CSNK1D","PPP5C","CK1"
"CSNK1D","CDH1","CK1"
"CSNK1D","MTSS1","CK1"
"PLK4","NEDD1","OTHER"
"PLK4","CEP131","OTHER"
"PLK4","STIL","OTHER"
"PLK4","PCM1","OTHER"
"PLK4","ACTR2","OTHER"
"PLK4","FBXW5","OTHER"
"PLK4","NEK7","OTHER"
"PLK4","PPP1R16B","OTHER"
"PLK4","CCP110","OTHER"
"CIT","GLI2","AGC"
"CIT","MYL9","AGC"
"AURKC","NFKBIA","OTHER"
"AURKC","INCENP","OTHER"
"AURKC","BIRC5","OTHER"
"FRK","BRCA1","TK"
"SLK","RDX","STE"
"SLK","EZR","STE"
"SLK","SLK","STE"
"SLK","MSN","STE"
"CDK16","PRKAR1A","CMGC"
"CDK16","PRC1","CMGC"
"CDK16","CDKN1B","CMGC"
"CDK16","CCNY","CMGC"
"ERBB2","BBC3","TK"
"ERBB2","PLXNB1","TK"
"OXSR1","SLC12A1","STE"
"OXSR1","SLC12A5","STE"
"OXSR1","SMAD3","STE"
"OXSR1","SLC12A7","STE"
"OXSR1","SLC12A6","STE"
"OXSR1","SMAD2","STE"
"SRC","PTEN","TK"
"SRC","TIMP2","TK"
"SRC","THRAP3","TK"
"SRC","EYA3","TK"
"SRC","HDAC3","TK"
"SRC","KIF11","TK"
"SRC","GBF1","TK"
"SRC","TRPV1","TK"
"SRC","BCKDK","TK"
"SRC","WNK4","TK"
"SRC","GIT1","TK"
"SRC","AKAP8","TK"
"SRC","ACLY","TK"
"SRC","SFPQ","TK"
"SRC","DVL2","TK"
"SRC","EPS8","TK"
"SRC","ZC3H4","TK"
"SRC","PAG1","TK"
"SRC","NR1H4","TK"
"SRC","SF3B2","TK"
"SRC","BCLAF1","TK"
"SRC","FHOD1","TK"
"SRC","GRIK2","TK"
"SRC","L1CAM","TK"
"SRC","NEDD4","TK"
"SRC","PARP1","TK"
"SRC","CDC25A","TK"
"SRC","USP2","TK"
"SRC","CD46","TK"
"SRC","ITGB7","TK"
"SRC","MYH9","TK"
"SRC","PRKD2","TK"
"SRC","PELP1","TK"
"SRC","SRRT","TK"
"SRC","AGO2","TK"
"SRC","RMDN3","TK"
"SRC","ENG","TK"
"SRC","CDH1","TK"
"SRC","FCRL3","TK"
"SRC","THOC5","TK"
"SRC","NRAS","TK"
"SRC","NCKIPSD","TK"
"SRC","SDCBP","TK"
"SRC","WBP2","TK"
"SRC","TRIP10","TK"
"SRC","YAP1","TK"
"SRC","HSP90AA1","TK"
"SRC","LPIN1","TK"
"SRC","SLC6A4","TK"
"SRC","FXN","TK"
"SRC","G6PD","TK"
"SRC","PFN1","TK"
"SRC","FUBP1","TK"
"SRC","CASP9","TK"
"SRC","RBM10","TK"
"SRC","CD93","TK"
"SRC","DOK1","TK"
"SRC","PRKAA2","TK"
"SRC","PTPRJ","TK"
"SRC","TP73","TK"
"SRC","GSK3B","TK"
"SRC","LMNA","TK"
"SRC","ZAP70","TK"
"SRC","HK2","TK"
"SRC","CACNA1C","TK"
"SRC","ETS1","TK"
"SRC","FLOT1","TK"
"SRC","MDM2","TK"
"SRC","SHC3","TK"
"SRC","ELMO1","TK"
"SRC","HIPK2","TK"
"SRC","PKP3","TK"
"SRC","SDHA","TK"
"SRC","SNCA","TK"
"SRC","CORO7","TK"
"SRC","FHL1","TK"
"SRC","LPP","TK"
"SRC","SDC2","TK"
"SRC","IQGAP1","TK"
"SRC","DAAM1","TK"
"SRC","KLF16","TK"
"SRC","CBL","TK"
"SRC","OCLN","TK"
"SRC","ARHGEF2","TK"
"SRC","GRIN1","TK"
"SRC","CNKSR1","TK"
"SRC","TP53","TK"
"SRC","CDK4","TK"
"SRC","KDR","TK"
"SRC","ATXN2L","TK"
"SRC","ARHGAP5","TK"
"SRC","CCDC88A","TK"
"SRC","PDHA1","TK"
"SRC","SOCS1","TK"
"SRC","RHOA","TK"
"SRC","MAPT","TK"
"SRC","GLO1","TK"
"SRC","HCRTR1","TK"
"SRC","SLC25A4","TK"
"SRC","GAPDH","TK"
"SRC","CCR7","TK"
"SRC","KHSRP","TK"
"SRC","STING1","TK"
"SRC","KNSTRN","TK"
"SRC","SH3GLB1","TK"
"SRC","TRIP6","TK"
"SRC","PANX1","TK"
"SRC","NFE2L2","TK"
"SRC","MAPRE1","TK"
"SRC","KRAS","TK"
"SRC","TFG","TK"
"SRC","ERBB2","TK"
"SRC","PRC1","TK"
"SRC","FOS","TK"
"SRC","PLD2","TK"
"SRC","SLC11A1","TK"
"SRC","SDC4","TK"
"SRC","NDFIP2","TK"
"SRC","GUCY1B1","TK"
"SRC","NELFCD","TK"
"SRC","CNN3","TK"
"SRC","EWSR1","TK"
"SRC","DNM2","TK"
"SRC","PLEKHG2","TK"
"SRC","DMAP1","TK"
"SRC","TRIM25","TK"
"SRC","SYNJ2","TK"
"SRC","RAC1","TK"
"SRC","VAMP7","TK"
"SRC","MEGF10","TK"
"SRC","CCDC88C","TK"
"SRC","NDUFV2","TK"
"SRC","SDC1","TK"
"SRC","RET","TK"
"SRC","ATP1A1","TK"
"SRC","PTTG1IP","TK"
"SRC","ARHGEF7","TK"
"SRC","AR","TK"
"SRC","AGTR1","TK"
"SRC","TFRC","TK"
"SRC","CDK1","TK"
"SRC","CNN2","TK"
"SRC","FER","TK"
"SRC","FUS","TK"
"SRC","THRB","TK"
"SRC","RHBG","TK"
"SRC","LASP1","TK"
"SRC","G3BP1","TK"
"SRC","RAB34","TK"
"SRC","FIP1L1","TK"
"SRC","NPHP1","TK"
"SRC","PKD1","TK"
"SRC","PRMT5","TK"
"SRC","KCND3","TK"
"SRC","IKBKG","TK"
"CDK3","ESR1","CMGC"
"CDK3","MECOM","CMGC"
"CDK3","NFATC4","CMGC"
"CDK3","NOTCH1","CMGC"
"WNK2","STK39","OTHER"
"NTRK2","SHC3","TK"
"RPS6KA4","H3C1","AGC"
"RPS6KA4","ATXN1","AGC"
"VRK1","COIL","CK1"
"VRK1","H2AC11","CK1"
"VRK1","NR1I2","CK1"
"PRKCI","AMOT","AGC"
"PRKCI","MAPT","AGC"
"PRKCI","SP1","AGC"
"PRKCI","NUMB","AGC"
"PRKCI","MARK3","AGC"
"PRKCI","PPP1R14C","AGC"
"PRKCI","FBXW7","AGC"
"PRKCI","DOC2B","AGC"
"PRKCI","UBTF","AGC"
"PRKCI","ELF3","AGC"
"PRKCI","PARD6A","AGC"
"PRKCI","VIM","AGC"
"PRKCI","KLF10","AGC"
"PRKCI","EZH2","AGC"
"PRKCI","CTTN","AGC"
"PRKCI","RPS6KB2","AGC"
"PRKCI","YKT6","AGC"
"PRKCI","EP300","AGC"
"PRKCI","NFE2L2","AGC"
"ZAP70","AGO2","TK"
"ZAP70","THEMIS","TK"
"BCR","YWHAZ","ATYPICAL"
"BCR","AFDN","ATYPICAL"
"NEK7","KIF11","OTHER"
"GAK","TP63","OTHER"
"GAK","CLTC","OTHER"
"DYRK3","H3-3A","CMGC"
"DYRK3","NCOA3","CMGC"
"TYK2","SIVA1","TK"
"TYK2","STAT3","TK"
"PTK2B","TGFB1I1","TK"
"PTK2B","ID3","TK"
"PTK2B","CTTN","TK"
"PTK2B","LAT","TK"
"PTK2B","STIM1","TK"
"RPS6KB2","HSPB1","AGC"
"RPS6KB2","TARBP2","AGC"
"RPS6KB2","GSK3B","AGC"
"RPS6KB2","KRT18","AGC"
"RPS6KB2","RICTOR","AGC"
"FGR","ALOX5","TK"
"FGR","TBK1","TK"
"FGR","GLO1","TK"
"FGR","NFE2L2","TK"
"FGR","RIPK2","TK"
"FGR","IKBKG","TK"
"ULK1","CDC37","OTHER"
"ULK1","FBP1","OTHER"
"ULK1","RIPK1","OTHER"
"ULK1","NR3C2","OTHER"
"ULK1","SMCR8","OTHER"
"ULK1","STING1","OTHER"
"ULK1","BNIP3L","OTHER"
"ULK1","ATG13","OTHER"
"ULK1","YAP1","OTHER"
"ULK1","ATG16L1","OTHER"
"ULK1","PFKM","OTHER"
"ULK1","BECN1","OTHER"
"ULK1","RPTOR","OTHER"
"ULK1","ENO1","OTHER"
"ULK1","RB1CC1","OTHER"
"ULK1","SDCBP","OTHER"
"ULK1","ATG4B","OTHER"
"ULK1","SESN2","OTHER"
"ULK1","HK1","OTHER"
"ULK1","BNIP3","OTHER"
"ULK1","AMBRA1","OTHER"
"ULK1","FLCN","OTHER"
"ULK1","SEC23A","OTHER"
"ULK1","PRKN","OTHER"
"ULK1","ATG101","OTHER"
"ULK1","FUNDC1","OTHER"
"ULK1","MAD1L1","OTHER"
"ULK1","SEC16A","OTHER"
"ULK1","ATG14","OTHER"
"ULK1","PIK3C3","OTHER"
"ULK1","FLII","OTHER"
"TEC","ITK","TK"
"TLK1","NEK1","OTHER"
"TLK1","H3C1","OTHER"
"TLK1","MAPKAPK5","OTHER"
"CDK1","TRIM32","CMGC"
"CDK1","KPNA2","CMGC"
"CDK1","NCL","CMGC"
"CDK1","SIRT3","CMGC"
"CDK1","NDUFB6","CMGC"
"CDK1","ARHGAP19","CMGC"
"CDK1","CLASP2","CMGC"
"CDK1","NOLC1","CMGC"
"CDK1","ATG13","CMGC"
"CDK1","EPB41","CMGC"
"CDK1","ITPR1","CMGC"
"CDK1","ARHGEF2","CMGC"
"CDK1","VGLL4","CMGC"
"CDK1","SRRM2","CMGC"
"CDK1","YAP1","CMGC"
"CDK1","KMT2E","CMGC"
"CDK1","RGPD4","CMGC"
"CDK1","TCOF1","CMGC"
"CDK1","HMGCS1","CMGC"
"CDK1","MASTL","CMGC"
"CDK1","DNM2","CMGC"
"CDK1","PPP1R13L","CMGC"
"CDK1","KIF20A","CMGC"
"CDK1","CENPA","CMGC"
"CDK1","DLGAP5","CMGC"
"CDK1","PHLPP1","CMGC"
"CDK1","TP53BP1","CMGC"
"CDK1","UBE2I","CMGC"
"CDK1","AJUBA","CMGC"
"CDK1","CDCA5","CMGC"
"CDK1","NCKAP5L","CMGC"
"CDK1","USP1","CMGC"
"CDK1","CTDSPL2","CMGC"
"CDK1","GMPS","CMGC"
"CDK1","DAB2IP","CMGC"
"CDK1","UGDH","CMGC"
"CDK1","EIF2AK2","CMGC"
"CDK1","EIF4G1","CMGC"
"CDK1","WWTR1","CMGC"
"CDK1","NCOA1","CMGC"
"CDK1","CHMP7","CMGC"
"CDK1","DENR","CMGC"
"CDK1","NDUFA12","CMGC"
"CDK1","CDC14A","CMGC"
"CDK1","CDKN2D","CMGC"
"CDK1","FLNA","CMGC"
"CDK1","TERF1","CMGC"
"CDK1","LIMD1","CMGC"
"CDK1","SKA3","CMGC"
"CDK1","DIAPH1","CMGC"
"CDK1","CENPC","CMGC"
"CDK1","MTHFR","CMGC"
"CDK1","AKT1","CMGC"
"CDK1","USP24","CMGC"
"CDK1","UIMC1","CMGC"
"CDK1","MKI67","CMGC"
"CDK1","ODF2","CMGC"
"CDK1","SCML2","CMGC"
"CDK1","CDT1","CMGC"
"CDK1","NEDD1","CMGC"
"CDK1","USP9X","CMGC"
"CDK1","RBBP8","CMGC"
"CDK1","PKN2","CMGC"
"CDK1","CARHSP1","CMGC"
"CDK1","CCNB1","CMGC"
"CDK1","BCL9","CMGC"
"CDK1","DSN1","CMGC"
"CDK1","BAD","CMGC"
"CDK1","NDUFS2","CMGC"
"CDK1","ISL1","CMGC"
"CDK1","POLR2A","CMGC"
"CDK1","CDCA2","CMGC"
"CDK1","ORC6","CMGC"
"CDK1","CTTN","CMGC"
"CDK1","DDHD1","CMGC"
"CDK1","HJURP","CMGC"
"CDK1","NCAPD3","CMGC"
"CDK1","EIF4A3","CMGC"
"CDK1","VCPIP1","CMGC"
"CDK1","RGPD5","CMGC"
"CDK1","PKN1","CMGC"
"CDK1","CUEDC2","CMGC"
"CDK1","EEF2","CMGC"
"CDK1","UBXN2B","CMGC"
"CDK1","MCTS1","CMGC"
"CDK1","LIG3","CMGC"
"CDK1","RGPD8","CMGC"
"CDK1","RANBP2","CMGC"
"CDK1","APP","CMGC"
"CDK1","TEX14","CMGC"
"CDK1","NAGK","CMGC"
"CDK1","NCAPG","CMGC"
"CDK1","AKAP12","CMGC"
"CDK1","KIFC1","CMGC"
"CDK1","PIP5K1C","CMGC"
"CDK1","EFHD2","CMGC"
"CDK1","BORA","CMGC"
"CDK1","TTK","CMGC"
"CDK1","ADD1","CMGC"
"CDK1","PDPK1","CMGC"
"CDK1","RSF1","CMGC"
"CDK1","BARD1","CMGC"
"CDK1","BCL2L11","CMGC"
"CDK1","PPP2CA","CMGC"
"CDK1","PYCR2","CMGC"
"CDK1","PRC1","CMGC"
"CDK1","BCL2L1","CMGC"
"CDK1","PAICS","CMGC"
"CDK1","RFC1","CMGC"
"CDK1","OSBP2","CMGC"
"CDK1","BAG3","CMGC"
"CDK1","NDUFV1","CMGC"
"CDK1","UNG","CMGC"
"CDK1","DCTN6","CMGC"
"CDK1","IRS2","CMGC"
"CDK1","GSG2","CMGC"
"CDK1","PALLD","CMGC"
"CDK1","NUAK1","CMGC"
"CDK1","LDHA","CMGC"
"CDK1","NUCKS1","CMGC"
"CDK1","TPX2","CMGC"
"CDK1","REPS2","CMGC"
"CDK1","RIT1","CMGC"
"CDK1","PDIA3","CMGC"
"CDK1","KDM5B","CMGC"
"CDK1","PDS5B","CMGC"
"CDK1","PKM","CMGC"
"CDK1","UHRF1","CMGC"
"CDK1","ZMYM3","CMGC"
"CDK1","CDKN1A","CMGC"
"CDK1","EML3","CMGC"
"CDK1","TPR","CMGC"
"CDK1","TOP2B","CMGC"
"CDK1","OGFR","CMGC"
"CDK1","RECQL4","CMGC"
"CDK1","RGPD3","CMGC"
"CDK1","PHF8","CMGC"
"CDK1","LRRK1","CMGC"
"CDK1","AHNAK","CMGC"
"CDK1","PSMA5","CMGC"
"CDK1","POLR1G","CMGC"
"CDK1","NDUFV3","CMGC"
"CDK1","DTL","CMGC"
"CDK1","DEPDC1","CMGC"
"CDK1","SSR1","CMGC"
"CDK1","HIF1A","CMGC"
"CDK1","XIAP","CMGC"
"CDK1","RECQL5","CMGC"
"CDK1","TFPT","CMGC"
"CDK1","ERCC6","CMGC"
"CDK1","U2AF2","CMGC"
"CDK1","DISC1","CMGC"
"CDK1","SET","CMGC"
"CDK1","ANAPC4","CMGC"
"CDK1","PRPS1","CMGC"
"CDK1","GAPVD1","CMGC"
"CDK1","NME2","CMGC"
"CDK1","UBAP2L","CMGC"
"CDK1","RAB11FIP3","CMGC"
"CDK1","TFCP2L1","CMGC"
"CDK1","PEX14","CMGC"
"CDK1","DNM1L","CMGC"
"CDK1","TPP1","CMGC"
"CDK1","ELAVL1","CMGC"
"CDK1","SEPTIN9","CMGC"
"CDK1","SOD2","CMGC"
"CDK1","TERT","CMGC"
"CDK1","HMGN5","CMGC"
"CDK1","PI4KB","CMGC"
"CDK1","ATR","CMGC"
"CDK1","PML","CMGC"
"CDK1","FMNL2","CMGC"
"CDK1","DCTN1","CMGC"
"CDK1","TOB2","CMGC"
"CDK1","TIAM1","CMGC"
"CDK1","SUPT5H","CMGC"
"CDK1","CREB1","CMGC"
"CDK1","CGAS","CMGC"
"CDK1","SLC9A3R1","CMGC"
"CDK1","CANX","CMGC"
"CDK1","USP14","CMGC"
"CDK1","GATA2","CMGC"
"CDK1","XPO1","CMGC"
"CDK1","TMPO","CMGC"
"CDK1","WWC1","CMGC"
"CDK1","MAP7","CMGC"
"CDK1","CCNE1","CMGC"
"CDK1","MCM7","CMGC"
"CDK1","PPP6R2","CMGC"
"CDK1","GIGYF2","CMGC"
"CDK1","CDCA8","CMGC"
"CDK1","MAPK3","CMGC"
"CDK1","HNRNPK","CMGC"
"CDK1","ZC3H11A","CMGC"
"CDK1","NEK9","CMGC"
"CDK1","H1-4","CMGC"
"PRKG1","PAK1","AGC"
"STK33","STK33","CAMK"
"PAK4","NFE2L2","STE"
"PAK4","SNAI2","STE"
"PAK4","WASL","STE"
"PAK4","MZF1","STE"
"PAK4","STMN2","STE"
"PAK4","ITGB1BP1","STE"
"PAK4","RUNX1","STE"
"PAK4","TH","STE"
"PAK4","LIMK1","STE"
"PAK4","ESR1","STE"
"CHEK2","SIAH2","CAMK"
"CHEK2","AURKB","CAMK"
"CHEK2","BAIAP2L1","CAMK"
"CHEK2","ELAVL1","CAMK"
"CHEK2","H1-2","CAMK"
"CHEK2","PLIN3","CAMK"
"CHEK2","PLIN2","CAMK"
"CHEK2","REV3L","CAMK"
