"Kinase","Substrate","Group"
"CDK1","GJA1","CMGC"
"CDK2","CEBPB","CMGC"
"RPS6KA3","ATF1","AGC"
"SRC","HK1","TK"
"MTOR","TFEB","ATYPICAL"
"ROR1","ERBB3","TK"
"PRKD1","OSBP","CAMK"
"MELK","EIF4B","CAMK"
"GSK3B","PAX3","CMGC"
"LYN","CDK2","TK"
"CDK1","MCM3","CMGC"
"GRK6","NFKBIA","AGC"
"PBK","NFKBIA","OTHER"
"SYK","NFKBIA","TK"
"GRK5","MSN","AGC"
"CDK5","APEX1","CMGC"
"AKT1","CDC25B","AGC"
"MAPK3","CDC25C","CMGC"
"MAPK1","CDC25C","CMGC"
"SYK","CDC25C","TK"
"ATR","CDC25C","ATYPICAL"
"EGFR","AXL","TK"
"MAPK1","AKT1","CMGC"
"PAK1","AKT1","STE"
"PBK","AKT1","OTHER"
"SRC","GRK5","TK"
"FLT3","CTNNB1","TK"
"CDK5","KDR","CMGC"
"PIM1","FLT3","CAMK"
"PLK1","SREBF1","OTHER"
"CHEK1","CDKN1A","CAMK"
"CDK1","STAT3","CMGC"
"CDK5","STAT3","CMGC"
"MAP3K8","MAP3K8","STE"
"EIF2AK2","STAT1","OTHER"
"CDK8","STAT1","CMGC"
"ALK","WAS","TK"
"MAPK3","GATA4","CMGC"
"ATM","CDKN1B","ATYPICAL"
"CDK5","CDKN1B","CMGC"
"NLK","YAP1","CMGC"
"RPS6KA1","CDC34","AGC"
"CDK5","NUMB","CMGC"
"PIM2","TSC2","CAMK"
"ROCK1","TSC2","AGC"
"GSK3B","GSK3B","CMGC"
"PRKCZ","GSK3B","AGC"
"ALK","GSK3B","TK"
"LIMK1","MMP14","TKL"
"CDK9","CDK9","CMGC"
"CDK1","BRCA2","CMGC"
"PRKCA","ARHGDIA","AGC"
"NEK7","TERF1","OTHER"
"PRKAA2","SLC12A2","CAMK"
"PRKAA1","SLC12A2","CAMK"
"GSK3B","SIK1","CMGC"
"GRK5","CXCR4","AGC"
"SLK","RHOA","STE"
"AURKA","HNRNPK","OTHER"
"PLK1","PRKDC","OTHER"
"MAPK3","SMAD3","CMGC"
"FYN","IFITM3","TK"
"PRKD3","RELA","CAMK"
"CDK6","RELA","CMGC"
"ATM","RELA","ATYPICAL"
"MAPK3","PTK2","CMGC"
"RPS6KA3","MEF2C","AGC"
"MAPK3","BAX","CMGC"
"MAPK1","BAX","CMGC"
"PLK1","BCL2L1","OTHER"
"CDK1","MCL1","CMGC"
"CDK1","EP300","CMGC"
"MAPK3","EP300","CMGC"
"PLK1","CDC20","OTHER"
"CDK2","KLF10","CMGC"
"CDK1","STK3","CMGC"
"GTF2F1","SLA","ATYPICAL"
"CHEK1","TRIM28","CAMK"
"AKT1","SKP2","AGC"
"TBK1","SQSTM1","OTHER"
"MAP3K8","PIN1","STE"
"CDK1","EIF4EBP1","CMGC"
"MAPK3","STIM1","CMGC"
"MAPK1","STIM1","CMGC"
"ABL1","RBM39","TK"
"AURKA","NUMA1","OTHER"
"PRKAA2","PEA15","CAMK"
"AKT2","PCBP1","AGC"
"BCR","PCBP2","ATYPICAL"
"MAPK3","PCBP2","CMGC"
"MAPK1","PCBP2","CMGC"
"MAPK11","MAPK11","CMGC"
"PAK4","SMAD2","STE"
"GSK3B","EZH2","CMGC"
"CDK1","EZH2","CMGC"
"CDK5","DPYSL2","CMGC"
"LRRK2","HIF1A","TKL"
"AKT1","UBE2S","AGC"
"RPS6KB1","LTC4S","AGC"
"IKBKB","PFKFB3","OTHER"
"RPS6KA1","PFKFB3","AGC"
"GTF2F1","PDCD4","ATYPICAL"
"CDK5","LRRK2","CMGC"
"MAPK1","RASGRP2","CMGC"
"ATM","APLF","ATYPICAL"
"SRC","SIRT2","TK"
"PRKAA2","AMOTL1","CAMK"
"DAPK2","RPTOR","CAMK"
"PRKAA2","FLCN","CAMK"
"CDK2","CEP76","CMGC"
"ABL1","DGCR8","TK"
"ATR","RAD50","ATYPICAL"
"MAPKAPK2","MRTFA","CAMK"
"PRKAA2","SIRT1","CAMK"
"GSK3B","IL17RA","CMGC"
"AURKA","AURKB","OTHER"
"SRC","PBK","TK"
"CDK1","SPAG5","CMGC"
"AKT1","PHB2","AGC"
"MARK3","FEZ1","CAMK"
"PTK6","DOK1","TK"
"DYRK1B","NKX3-1","CMGC"
"MAPK14","CORO1B","CMGC"
"PRKCA","CDC42EP4","AGC"
"STK4","MAP1LC3A","STE"
"STK3","MAP1LC3A","STE"
"IRAK1","GLIPR2","TKL"
"AURKA","CENPJ","OTHER"
"LATS1","INCENP","AGC"
"LATS2","INCENP","AGC"
"CDK5","KIF13B","CMGC"
"CDK1","GPHN","CMGC"
"CDK5","GPHN","CMGC"
"PRKCA","PICK1","AGC"
"AURKA","AURKAIP1","OTHER"
"GSK3B","HDAC6","CMGC"
"MAPK3","LIMA1","CMGC"
"MAPK1","LIMA1","CMGC"
"SRC","BAIAP2L1","TK"
"SRC","ERRFI1","TK"
"SRC","HCN2","TK"
"SYK","PYCARD","TK"
"PTK2B","PYCARD","TK"
"PRKAA2","PIKFYVE","CAMK"
"PINK1","HIF3A","OTHER"
"MAPKAPK2","UBE2J1","CAMK"
"CDK1","SAMHD1","CMGC"
"CDK2","SAMHD1","CMGC"
"SRC","SH3PXD2B","TK"
"ULK1","DENND3","OTHER"
"ULK2","DENND3","OTHER"
"BMPR1A","FAM83G","TKL"
"MAPK3","MCRIP1","CMGC"
"GSK3B","NACA","CMGC"
"MTOR","SGK1","ATYPICAL"
"PRKACA","FXYD1","AGC"
"MAPK3","APBB1","CMGC"
"CDK9","SUPT5H","CMGC"
"CDK11B","EIF3F","CMGC"
"CDK1","CDC7","CMGC"
"GSK3B","BMAL1","CMGC"
"CHEK1","E2F3","CAMK"
"PRKACA","HSPB6","AGC"
"CSNK1E","DVL1","CK1"
"CSNK1D","DVL2","CK1"
"CSNK1E","DVL2","CK1"
"ROCK1","KCNK3","AGC"
"RPS6KA3","KCNK3","AGC"
"CSNK2A1","PDCD5","CMGC"
"JAK2","PRMT5","TK"
"CDK2","CHEK1","CMGC"
"CHEK1","CHEK1","CAMK"
"AURKB","NDC80","OTHER"
"PRKACA","PHOX2A","AGC"
"PRKCA","PLD2","AGC"
"ILK","MYL12B","TKL"
"ROCK1","MYL12B","AGC"
"MAP3K12","MYL12B","TKL"
"PRKCA","PIP5K1B","AGC"
"MAPK1","PFAS","CMGC"
"AKT3","CHUK","AGC"
"AKT3","TBX3","AGC"
"CSNK1D","AXIN1","CK1"
"CSNK2A1","NPHP1","CMGC"
"ABL1","SPTLC1","TK"
"GSK3B","TCAP","CMGC"
"CHEK1","TP73","CAMK"
"ATM","FANCA","ATYPICAL"
"PLK1","BIRC5","OTHER"
"CDK5","CLOCK","CMGC"
"AKT1","CFLAR","AGC"
"IGF1R","PDPK1","TK"
"CDK1","RNMT","CMGC"
"CSNK2A1","TTI1","CMGC"
"CSNK2A1","PRPF3","CMGC"
"PNCK","EIF4G3","CAMK"
"CAMK1G","EIF4G3","CAMK"
"PINK1","HTRA2","OTHER"
"SRC","PROM1","TK"
"AKT2","FOXO3","AGC"
"SGK3","FOXO3","AGC"
"SGK2","FOXO3","AGC"
"AKT3","FOXO3","AGC"
"MAPK3","FOXO3","CMGC"
"CSNK1A1","FOXO3","CK1"
"DYRK1A","FOXO3","CMGC"
"PRKAA1","FOXO3","CAMK"
"CHUK","FOXO3","OTHER"
"IKBKE","FOXO3","OTHER"
"MAPK3","LAT","CMGC"
"FYN","LAT","TK"
"MKNK1","SPRY2","CAMK"
