Kinase,Substrate,HighConfidenceSites,LowConfidenceSites,Source
O14757,P54132,4,0,"PhosphoSitePlus, EPSD:PSEA"
O14757,P55039,1,0,PhosphoSitePlus
O14757,P67809,1,0,PhosphoSitePlus
O14757,P67870,1,0,PhosphoSitePlus
O14757,P68431,2,0,"PhosphoSitePlus, EPSD:RegPhos"
O14757,P84098,2,0,PhosphoSitePlus
O14757,P84243,1,0,PhosphoSitePlus
O14757,P85299,1,0,PhosphoSitePlus
O14757,Q00341,1,0,PhosphoSitePlus
O14757,Q02750,1,0,PhosphoSitePlus
O14757,Q04206,1,0,"PhosphoSitePlus, EPSD:RegPhos"
O14757,Q04837,1,0,PhosphoSitePlus
O14757,Q06609,1,0,"PhosphoSitePlus, EPSD:RegPhos"
O14757,Q08AD1,1,0,PhosphoSitePlus
O14757,Q12789,1,0,PhosphoSitePlus
O14757,Q12888,1,0,PhosphoSitePlus
O14757,Q13043,1,0,PhosphoSitePlus
O14757,Q13257,2,0,PhosphoSitePlus
O14757,Q13263,1,0,PhosphoSitePlus
O14757,Q13439,1,0,PhosphoSitePlus
O14757,Q13470,1,0,PhosphoSitePlus
O14757,Q13907,1,0,PhosphoSitePlus
O14757,Q14004,1,0,PhosphoSitePlus
O14757,Q14186,1,0,PhosphoSitePlus
O14757,Q14247,1,0,PhosphoSitePlus
O14757,Q14669,1,0,PhosphoSitePlus
O14757,Q14676,1,0,PhosphoSitePlus
O14757,Q14738,1,0,"PhosphoSitePlus, EPSD:PSEA"
O14757,Q14966,1,0,PhosphoSitePlus
O14757,Q15648,1,0,PhosphoSitePlus
O14757,Q16143,1,0,"PhosphoSitePlus, EPSD:PSEA"
O14757,Q16181,1,0,PhosphoSitePlus
O14757,Q16204,2,0,PhosphoSitePlus
O14757,Q27J81,1,0,PhosphoSitePlus
O14757,Q32P44,1,0,PhosphoSitePlus
O14757,Q53F19,1,0,PhosphoSitePlus
O14757,Q53H47,1,0,PhosphoSitePlus
O14757,Q5JSZ5,1,0,PhosphoSitePlus
O14757,Q5JTH9,1,0,PhosphoSitePlus
O14757,Q5T8P6,1,0,PhosphoSitePlus
O14757,Q5UIP0,1,0,PhosphoSitePlus
O14757,Q6PD62,1,0,PhosphoSitePlus
O14757,Q6T4R5,1,0,PhosphoSitePlus
O14757,Q7Z2Z1,4,0,PhosphoSitePlus
O14757,Q86UE8,1,0,PhosphoSitePlus
O14757,Q86WB0,1,0,PhosphoSitePlus
O14757,Q86WR7,1,0,PhosphoSitePlus
O14757,Q8N4C8,1,0,PhosphoSitePlus
O14757,Q8NG66,1,0,"EPSD:RegPhos, PhosphoSitePlus, EPSD:PSEA"
O14757,Q8WWI1,1,0,PhosphoSitePlus
O14757,Q92974,1,0,PhosphoSitePlus
O14757,Q96E09,1,0,PhosphoSitePlus
O14757,Q96GD4,1,0,"PhosphoSitePlus, EPSD:PSEA"
O14757,Q96PK6,3,0,PhosphoSitePlus
O14757,Q96QD9,1,0,PhosphoSitePlus
O14757,Q96RL1,1,0,PhosphoSitePlus
O14757,Q96ST3,1,0,PhosphoSitePlus
O14757,Q96T58,1,0,PhosphoSitePlus
O14757,Q99590,1,0,PhosphoSitePlus
O14757,Q99848,1,0,PhosphoSitePlus
O14757,Q9BQG0,1,0,PhosphoSitePlus
O14757,Q9BRD0,1,0,PhosphoSitePlus
O14757,Q9BTD8,1,0,PhosphoSitePlus
O14757,Q9BW19,1,0,PhosphoSitePlus
O14757,Q9BXB4,1,0,PhosphoSitePlus
O14757,Q9BXW9,1,0,"PhosphoSitePlus, EPSD:PSEA"
O14757,Q9BY77,1,0,PhosphoSitePlus
O14757,Q9GZR7,1,0,PhosphoSitePlus
O14757,Q9H0H5,1,0,PhosphoSitePlus
O14757,Q9H8G2,1,0,PhosphoSitePlus
O14757,Q9H8N7,1,0,PhosphoSitePlus
O14757,Q9HAW4,1,0,"EPSD:RegPhos, PhosphoSitePlus, EPSD:PSEA"
O14757,Q9HB96,2,0,"PhosphoSitePlus, EPSD:PSEA, EPSD:RegPhos"
O14757,Q9HC62,1,0,PhosphoSitePlus
O14757,Q9NRL2,1,0,PhosphoSitePlus
O14757,Q9NRM7,2,0,"PhosphoSitePlus, EPSD:PSEA"
O14757,Q9NUU7,1,0,PhosphoSitePlus
O14757,Q9NW13,1,0,PhosphoSitePlus
O14757,Q9NWH9,2,0,PhosphoSitePlus
O14757,Q9NXE8,1,0,PhosphoSitePlus
O14757,Q9P2D1,1,0,PhosphoSitePlus
O14757,Q9UEY8,1,0,PhosphoSitePlus
O14757,Q9UJM3,2,0,PhosphoSitePlus
O14757,Q9UKI8,2,0,"PhosphoSitePlus, EPSD:Phospho.ELM, EPSD:RegPhos"
O14757,Q9UKM9,1,0,PhosphoSitePlus
O14757,Q9UMR2,1,0,PhosphoSitePlus
O14757,Q9UPP1,1,0,PhosphoSitePlus
O14757,Q9UQ35,5,0,PhosphoSitePlus
O14757,Q9UQ84,1,0,PhosphoSitePlus
O14757,Q9Y294,1,0,PhosphoSitePlus
O14757,Q9Y2T7,1,0,PhosphoSitePlus
O14757,Q9Y3Y2,1,0,PhosphoSitePlus
O14757,Q9Y4F5,1,0,PhosphoSitePlus
O14757,Q9Y520,1,0,PhosphoSitePlus
O14757,Q9Y570,1,0,PhosphoSitePlus
O14920,O00161,1,0,PhosphoSitePlus
O14920,O14920,16,0,"EPSD:PostMod, EPSD:RegPhos, PhosphoSitePlus, EPSD:Phospho.ELM"
O14920,O15350,1,0,PhosphoSitePlus
O14920,O43524,1,0,"EPSD:RegPhos, PhosphoSitePlus, EPSD:PSEA, EPSD:Phospho.ELM"
O14920,O95999,5,0,"PhosphoSitePlus, EPSD:PSEA"
O14920,P01100,1,0,"PhosphoSitePlus, EPSD:PSEA"
O14920,P01106,2,0,PhosphoSitePlus
O14920,P19438,1,0,PhosphoSitePlus
O14920,P19838,4,0,"EPSD:PostMod, EPSD:RegPhos, PhosphoSitePlus, EPSD:Phospho.ELM, EPSD:PSEA"
O14920,P20749,1,0,PhosphoSitePlus
O14920,P21580,1,0,PhosphoSitePlus
O14920,P23396,1,0,"PhosphoSitePlus, EPSD:PSEA"
